2025-08-26 19:00:00	32.0999	-91.7081	0	23.12	22.8	101.84	2.025	0	1.2	48.8	0	0	2.17	0.75	0	NA	0.278	0.704	-26.9	0.264	0.337	0.349	0.338	-22.9	0.366	0.329	-16.2	0.365	0.536	28.75	29.2	28.8	27.85	27
2025-08-26 19:15:00	32.0999	-91.7081	0	23.09	22.8	101.84	2.036	0	1.2	49.2	0	0	2.16	0.73	0	NA	0.278	0.704	-26.9	0.264	0.337	0.349	0.338	-22.9	0.366	0.33	-16.2	0.366	0.538	28.65	29.2	28.75	27.85	27
2025-08-26 19:30:00	32.0999	-91.7081	0	23.03	22.7	101.84	2.042	0	1.34	52.6	0	0	2.48	0.71	0	NA	0.278	0.704	-27	0.264	0.337	0.349	0.337	-22.9	0.366	0.33	-16.2	0.366	0.535	28.549999999999997	29.1	28.75	27.85	27
2025-08-26 19:45:00	32.0999	-91.7081	0	23.03	22.7	101.85	2.047	0	1.26	58.7	0	0	2.35	0.71	0	NA	0.278	0.703	-27	0.264	0.336	0.349	0.336	-22.9	0.366	0.33	-16.2	0.366	0.537	28.450000000000003	29	28.75	27.85	27
2025-08-26 20:00:00	32.0999	-91.7081	0	22.99	22.7	101.86	2.049	0	1.23	41.9	0	0	2.51	0.71	0	NA	0.278	0.701	-27	0.264	0.334	0.349	0.336	-22.9	0.366	0.329	-16.2	0.366	0.538	28.35	28.9	28.75	27.85	27
2025-08-26 20:15:00	32.0999	-91.7081	0	22.97	22.6	101.87	2.055	0	1.11	32.9	0	0	2.39	0.69	0	NA	0.278	0.701	-27.1	0.263	0.335	0.349	0.336	-23	0.366	0.329	-16.2	0.365	0.538	28.25	28.8	28.65	27.85	27
2025-08-26 20:30:00	32.0999	-91.7081	0	22.9	22.5	101.88	2.059	0	1.15	30.3	0	0	2.67	0.67	0	NA	0.279	0.7	-27.1	0.263	0.336	0.349	0.337	-23	0.366	0.331	-16.2	0.365	0.537	28.2	28.8	28.65	27.85	27
2025-08-26 20:45:00	32.0999	-91.7081	0	22.83	22.4	101.88	2.062	0	1.17	32.8	0	0	2.94	0.65	0	NA	0.279	0.7	-27.2	0.263	0.337	0.349	0.338	-23	0.366	0.33	-16.2	0.365	0.536	28.15	28.7	28.65	27.85	27
2025-08-26 21:00:00	32.0999	-91.7081	0	22.69	22.4	101.88	2.062	0	1.53	40.2	0	0	3.19	0.64	0	NA	0.279	0.698	-27.2	0.263	0.336	0.348	0.337	-23	0.366	0.328	-16.2	0.365	0.537	28.049999999999997	28.6	28.65	27.85	27
2025-08-26 21:15:00	32.0999	-91.7081	0	22.57	22.3	101.87	2.063	0	1.76	38.1	0	0	3.49	0.62	0	NA	0.279	0.697	-27.2	0.263	0.334	0.348	0.337	-23	0.366	0.329	-16.2	0.365	0.538	27.950000000000003	28.6	28.6	27.85	27
